=== BOONS - BASES ===
           | HP  | STR | MAG | SKL | SPD | LCK | DEF | RES | BLD
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
HP Boon:   | +3  |     |     |     |     |     |     |     |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
STR Boon:  |     | +2  |     |     |     |     |     |     |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
MAG Boon:  |     |     | +3  |     |     |     |     |     |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
SKL Boon:  |     |     |     | +3  |     |     |     |     |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
SPD Boon:  |     |     |     |     | +2  |     |     |     |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
LCK Boon:  |     |     |     |     |     | +3  |     |     | +1
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
DEF Boon:  |     |     |     |     |     |     | +1  |     |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
RES Boon:  |     |     |     |     |     |     |     | +1  |    

=== BOONS - CAPS ===
           | HP  | STR | MAG | SKL | SPD | LCK | DEF | RES | BLD
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
HP Boon:   |     | +1  | +1  |     |     | +2  | +2  | +2  |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
STR Boon:  |     | +4  |     | +2  |     |     | +2  |     |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
MAG Boon:  |     |     | +4  |     | +2  |     |     | +2  |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
SKL Boon:  |     | +2  |     | +4  |     |     | +2  |     |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
SPD Boon:  |     |     |     | +2  | +4  | +2  |     |     |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
LCK Boon:  |     | +2  | +2  |     |     | +4  |     |     | +2
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
DEF Boon:  |     |     |     |     |     | +2  | +4  | +2  |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
RES Boon:  |     |     | +2  |     | +2  |     |     | +4  |    

=== BOONS - GROWTHS ===
           | HP   | STR  | MAG  | SKL  | SPD  | LCK  | DEF  | RES  | BLD
-----------|------|------|------|------|------|------|------|------|------
HP Boon:   | +15% |      |      |      |      |      | +5%  | +5%  |    
-----------|------|------|------|------|------|------|------|------|------
STR Boon:  |      | +15% |      | +5%  |      |      | +5%  |      |    
-----------|------|------|------|------|------|------|------|------|------
MAG Boon:  |      |      | +20% |      | +5%  |      |      | +5%  |    
-----------|------|------|------|------|------|------|------|------|------
SKL Boon:  |      | +5%  |      | +25% |      |      | +5%  |      |    
-----------|------|------|------|------|------|------|------|------|------
SPD Boon:  |      |      |      | +5%  | +15% | +5%  |      |      |    
-----------|------|------|------|------|------|------|------|------|------
LCK Boon:  |      | +5%  | +5%  |      |      | +25% |      |      | +15%
-----------|------|------|------|------|------|------|------|------|------
DEF Boon:  |      |      |      |      |      | +5%  | +10% | +5%  |    
-----------|------|------|------|------|------|------|------|------|------
RES Boon:  |      |      | +5%  |      | +5%  |      |      | +10% |    

=== BANES - BASES ===
           | HP  | STR | MAG | SKL | SPD | LCK | DEF | RES | BLD
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
HP Bane:   | -2  |     |     |     |     |     |     |     |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
STR Bane:  |     | -1  |     |     |     |     |     |     |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
MAG Bane:  |     |     | -2  |     |     |     |     |     |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
SKL Bane:  |     |     |     | -2  |     |     |     |     |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
SPD Bane:  |     |     |     |     | -1  |     |     |     |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
LCK Bane:  |     |     |     |     |     | -2  |     |     |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
DEF Bane:  |     |     |     |     |     |     | -1  |     |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
RES Bane:  |     |     |     |     |     |     |     | -1  |    

=== BANES - CAPS ===
           | HP  | STR | MAG | SKL | SPD | LCK | DEF | RES | BLD
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
HP Bane:   |     | -1  | -1  |     |     | -1  | -1  | -1  |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
STR Bane:  |     | -3  |     | -1  |     |     | -1  |     |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
MAG Bane:  |     |     | -3  |     | -1  |     |     | -1  |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
SKL Bane:  |     | -1  |     | -3  |     |     | -1  |     |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
SPD Bane:  |     |     |     | -1  | -3  | -1  |     |     |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
LCK Bane:  |     | -1  | -1  |     |     | -3  |     |     | -1
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
DEF Bane:  |     |     |     |     |     | -1  | -3  | -1  |    
-----------|-----|-----|-----|-----|-----|-----|-----|-----|-----
RES Bane:  |     |     | -1  |     | -1  |     |     | -3  |    

=== BANES - GROWTHS ===
           | HP   | STR  | MAG  | SKL  | SPD  | LCK  | DEF  | RES  | BLD
-----------|------|------|------|------|------|------|------|------|------
HP Bane:   | -10% |      |      |      |      |      | -5%  | -5%  |    
-----------|------|------|------|------|------|------|------|------|------
STR Bane:  |      | -10% |      | -5%  |      |      | -5%  |      |    
-----------|------|------|------|------|------|------|------|------|------
MAG Bane:  |      |      | -15% |      | -5%  |      |      | -5%  |    
-----------|------|------|------|------|------|------|------|------|------
SKL Bane:  |      | -5%  |      | -20% |      |      | -5%  |      |    
-----------|------|------|------|------|------|------|------|------|------
SPD Bane:  |      |      |      | -5%  | -10% | -5%  |      |      |    
-----------|------|------|------|------|------|------|------|------|------
LCK Bane:  |      | -5%  | -5%  |      |      | -20% |      |      | -3%
-----------|------|------|------|------|------|------|------|------|------
DEF Bane:  |      |      |      |      |      | -5%  | -10% | -5%  |    
-----------|------|------|------|------|------|------|------|------|------
RES Bane:  |      |      | -5%  |      | -5%  |      |      | -10% |    
